time,H_Am,M_Am,B_T
1.389,64.255,621197.238,0.781
1.390,63.503,620597.094,0.780
1.392,62.746,619979.360,0.779
1.394,61.983,619343.383,0.778
1.395,61.213,618688.472,0.778
1.397,60.438,618013.899,0.777
1.398,59.747,617399.312,0.776
1.399,59.051,616768.130,0.775
1.401,58.351,616119.760,0.774
1.402,57.646,615453.581,0.773
1.404,56.937,614768.937,0.773
1.405,56.224,614065.141,0.772
1.406,55.507,613341.466,0.771
1.408,54.785,612597.148,0.770
1.409,54.059,611831.383,0.769
1.410,53.330,611043.320,0.768
1.412,52.596,610232.061,0.767
1.413,51.943,609493.593,0.766
1.414,51.287,608735.504,0.765
1.416,50.628,607957.064,0.764
1.417,49.966,607157.507,0.763
1.418,49.301,606336.026,0.762
1.419,48.633,605491.772,0.761
1.420,47.962,604623.850,0.760
1.422,47.289,603731.315,0.759
1.423,46.613,602813.170,0.758
1.424,45.934,601868.364,0.756
1.425,45.252,600895.782,0.755
1.426,44.640,600001.540,0.754
1.427,44.026,599083.257,0.753
1.429,43.410,598139.996,0.752
1.430,42.792,597170.771,0.750
1.431,42.172,596174.541,0.749
1.432,41.550,595150.209,0.748
1.433,40.926,594096.614,0.747
1.434,40.300,593012.530,0.745
1.435,39.672,591896.661,0.744
1.436,39.042,590747.632,0.742
1.437,38.411,589563.987,0.741
1.438,37.847,588480.044,0.740
1.439,37.282,587366.301,0.738
1.440,36.716,586221.541,0.737
1.441,36.148,585044.480,0.735
1.442,35.579,583833.760,0.734
1.443,35.008,582587.944,0.732
1.444,34.437,581305.510,0.731
1.445,33.864,579984.846,0.729
1.446,33.289,578624.243,0.727
1.447,32.714,577221.884,0.725
1.448,32.137,575775.842,0.724
1.449,31.622,574448.571,0.722
1.450,31.106,573083.434,0.720
1.451,30.589,571678.800,0.718
1.451,30.071,570232.944,0.717
1.452,29.553,568744.038,0.715
1.453,29.033,567210.143,0.713
1.454,28.513,565629.202,0.711
1.455,27.992,563999.030,0.709
1.456,27.469,562317.302,0.707
1.457,26.947,560581.547,0.704
1.457,26.423,558789.133,0.702
1.458,25.959,557153.488,0.700
1.459,25.494,555469.215,0.698
1.460,25.029,553734.126,0.696
1.461,24.563,551945.903,0.694
1.461,24.097,550102.084,0.691
1.462,23.630,548200.058,0.689
1.463,23.162,546237.051,0.686
1.464,22.694,544210.113,0.684
1.464,22.226,542116.107,0.681
1.465,21.756,539951.696,0.679
1.466,21.287,537713.321,0.676
1.467,20.872,535672.048,0.673
1.467,20.456,533567.366,0.671
1.468,20.040,531396.339,0.668
1.469,19.624,529155.856,0.665
1.469,19.208,526842.619,0.662
1.470,18.791,524453.130,0.659
1.471,18.373,521983.680,0.656
1.471,17.956,519430.330,0.653
1.472,17.538,516788.897,0.649
1.473,17.120,514054.939,0.646
1.473,16.744,511518.302,0.643
1.474,16.368,508899.704,0.640
1.474,15.992,506195.323,0.636
1.475,15.616,503401.118,0.633
1.476,15.239,500512.817,0.629
1.476,14.862,497525.904,0.625
1.477,14.485,494435.602,0.621
1.477,14.108,491236.859,0.617
1.478,13.730,487924.330,0.613
1.479,13.353,484492.361,0.609
1.479,13.019,481352.683,0.605
1.480,12.684,478110.540,0.601
1.480,12.350,474761.344,0.597
1.481,12.015,471300.279,0.592
1.481,11.681,467722.281,0.588
1.482,11.346,464022.033,0.583
1.482,11.011,460193.950,0.578
1.483,10.676,456232.167,0.573
1.484,10.340,452130.533,0.568
1.484,10.005,447882.592,0.563
1.485,9.705,443949.625,0.558
1.485,9.404,439888.882,0.553
1.485,9.104,435695.075,0.548
1.486,8.803,431362.700,0.542
1.486,8.502,426886.027,0.536
1.487,8.201,422259.104,0.531
1.487,7.901,417475.749,0.525
1.488,7.600,412529.553,0.518
1.488,7.299,407413.878,0.512
1.489,6.998,402121.859,0.505
1.489,6.729,397252.267,0.499
1.490,6.461,392231.897,0.493
1.490,6.193,387055.468,0.486
1.491,5.924,381717.576,0.480
1.491,5.656,376212.706,0.473
1.491,5.387,370535.249,0.466
1.492,5.119,364679.508,0.458
1.492,4.850,358639.727,0.451
1.493,4.581,352410.102,0.443
1.493,4.313,345984.817,0.435
1.494,4.044,339358.067,0.426
1.494,3.806,333315.745,0.419
1.494,3.568,327106.911,0.411
1.495,3.330,320727.701,0.403
1.495,3.092,314174.355,0.395
1.495,2.854,307443.250,0.386
1.496,2.616,300530.935,0.378
1.496,2.378,293434.164,0.369
1.497,2.139,286149.941,0.360
1.497,1.901,278675.559,0.350
1.497,1.663,271008.650,0.341
1.498,1.425,263147.234,0.331
1.498,1.187,255089.769,0.321
1.498,0.974,247737.474,0.311
1.499,0.762,240228.031,0.302
1.499,0.549,232561.448,0.292
1.499,0.337,224738.148,0.282
1.500,0.125,216759.001,0.272
1.500,-0.088,208625.355,0.262
1.500,-0.300,200339.070,0.252
1.501,-0.513,191902.543,0.241
1.501,-0.725,183318.735,0.230
1.501,-0.938,174591.193,0.219
1.502,-1.150,165724.072,0.208
1.502,-1.362,156722.142,0.197
1.503,-1.575,147590.803,0.185
1.503,-1.787,138336.082,0.174
1.503,-2.000,128964.629,0.162
1.503,-2.190,120485.900,0.151
1.504,-2.380,111925.114,0.141
1.504,-2.570,103288.235,0.130
1.504,-2.760,94581.573,0.119
1.505,-2.950,85811.751,0.108
1.505,-3.140,76985.683,0.097
1.505,-3.330,68110.543,0.086
1.506,-3.520,59193.724,0.074
1.506,-3.710,50242.805,0.063
1.506,-3.900,41265.511,0.052
1.507,-4.090,32269.664,0.041
1.507,-4.280,23263.151,0.029
1.507,-4.479,13828.567,0.017
1.507,-4.690,3820.520,0.005
1.508,-4.875,-4967.304,-0.006
1.508,-5.040,-12750.459,-0.016
1.508,-5.205,-20512.422,-0.026
1.509,-5.369,-28248.389,-0.036
1.509,-5.534,-35953.684,-0.045
1.509,-5.699,-43623.771,-0.055
1.509,-5.864,-51254.271,-0.064
1.510,-6.034,-59102.379,-0.074
1.510,-6.204,-66899.151,-0.084
1.510,-6.375,-74640.345,-0.094
1.510,-6.545,-82321.943,-0.103
1.511,-6.715,-89940.163,-0.113
1.511,-6.885,-97491.460,-0.123
1.511,-7.056,-104972.531,-0.132
1.512,-7.226,-112380.316,-0.141
1.512,-7.396,-119711.996,-0.150
1.512,-7.566,-126964.995,-0.160
1.512,-7.742,-134384.251,-0.169
1.513,-7.918,-141714.441,-0.178
1.513,-8.094,-148953.497,-0.187
1.513,-8.270,-156099.603,-0.196
1.513,-8.446,-163151.187,-0.205
1.514,-8.622,-170106.913,-0.214
1.514,-8.804,-177197.195,-0.223
1.514,-8.986,-184182.808,-0.231
1.515,-9.168,-191062.992,-0.240
1.515,-9.350,-197837.203,-0.249
1.515,-9.531,-204505.103,-0.257
1.515,-9.720,-211297.999,-0.266
1.516,-9.908,-217976.765,-0.274
1.516,-10.096,-224541.626,-0.282
1.516,-10.284,-230992.982,-0.290
1.517,-10.472,-237331.391,-0.298
1.517,-10.668,-243811.032,-0.306
1.517,-10.864,-250169.960,-0.314
1.518,-11.059,-256409.259,-0.322
1.518,-11.255,-262530.138,-0.330
1.518,-11.457,-268748.240,-0.338
1.519,-11.660,-274842.222,-0.345
1.519,-11.863,-280813.759,-0.353
1.519,-12.065,-286664.610,-0.360
1.520,-12.275,-292614.590,-0.368
1.520,-12.485,-298438.523,-0.375
1.520,-12.696,-304138.589,-0.382
1.521,-12.906,-309717.010,-0.389
1.521,-13.124,-315393.579,-0.396
1.521,-13.342,-320943.521,-0.403
1.522,-13.561,-326369.430,-0.410
1.522,-13.779,-331673.910,-0.417
1.522,-14.006,-337073.513,-0.424
1.523,-14.234,-342347.108,-0.430
1.523,-14.461,-347497.622,-0.437
1.523,-14.688,-352527.961,-0.443
1.524,-14.924,-357648.892,-0.449
1.524,-15.161,-362645.492,-0.456
1.525,-15.398,-367520.946,-0.462
1.525,-15.634,-372278.390,-0.468
1.525,-15.881,-377120.873,-0.474
1.526,-16.127,-381841.624,-0.480
1.526,-16.374,-386444.017,-0.486
1.527,-16.620,-390931.350,-0.491
1.527,-16.877,-395497.573,-0.497
1.527,-17.134,-399945.451,-0.503
1.528,-17.391,-404278.480,-0.508
1.528,-17.648,-408500.064,-0.513
1.529,-17.916,-412794.147,-0.519
1.529,-18.184,-416973.928,-0.524
1.530,-18.452,-421042.969,-0.529
1.530,-18.720,-425004.727,-0.534
1.530,-18.999,-429032.635,-0.539
1.531,-19.279,-432950.812,-0.544
1.531,-19.558,-436762.840,-0.549
1.532,-19.837,-440472.180,-0.554
1.532,-20.128,-444241.575,-0.558
1.533,-20.419,-447906.220,-0.563
1.533,-20.710,-451469.669,-0.567
1.534,-21.001,-454935.352,-0.572
1.534,-21.305,-458455.403,-0.576
1.535,-21.608,-461875.975,-0.580
1.535,-21.911,-465200.564,-0.585
1.536,-22.214,-468432.533,-0.589
1.536,-22.531,-471713.680,-0.593
1.537,-22.847,-474900.808,-0.597
1.537,-23.163,-477997.323,-0.601
1.538,-23.478,-481006.493,-0.604
1.538,-23.808,-484060.195,-0.608
1.539,-24.137,-487025.429,-0.612
1.539,-24.466,-489905.485,-0.616
1.540,-24.795,-492703.515,-0.619
1.540,-25.138,-495541.982,-0.623
1.541,-25.480,-498297.537,-0.626
1.542,-25.823,-500973.333,-0.630
1.542,-26.165,-503572.389,-0.633
1.543,-26.522,-506208.316,-0.636
1.543,-26.878,-508766.814,-0.639
1.544,-27.234,-511250.888,-0.642
1.544,-27.590,-513663.407,-0.646
1.545,-27.961,-516109.719,-0.649
1.546,-28.332,-518483.948,-0.652
1.546,-28.702,-520788.940,-0.654
1.547,-29.072,-523027.407,-0.657
1.548,-29.458,-525297.021,-0.660
1.548,-29.844,-527499.710,-0.663
1.549,-30.229,-529638.152,-0.666
1.550,-30.613,-531714.899,-0.668
1.550,-31.014,-533820.519,-0.671
1.551,-31.414,-535864.139,-0.673
1.552,-31.814,-537848.269,-0.676
1.552,-32.213,-539775.295,-0.678
1.553,-32.630,-541729.233,-0.681
1.554,-33.046,-543625.834,-0.683
1.554,-33.461,-545467.438,-0.685
1.555,-33.875,-547256.268,-0.688
1.556,-34.307,-549070.304,-0.690
1.556,-34.739,-550831.381,-0.692
1.557,-35.169,-552541.671,-0.694
1.558,-35.599,-554203.237,-0.696
1.559,-36.047,-555888.512,-0.699
1.559,-36.494,-557524.907,-0.701
1.560,-36.941,-559114.434,-0.703
1.561,-37.387,-560658.999,-0.705
1.562,-37.851,-562225.939,-0.707
1.563,-38.314,-563747.778,-0.708
1.563,-38.777,-565226.370,-0.710
1.564,-39.239,-566663.474,-0.712
1.565,-39.719,-568121.753,-0.714
1.566,-40.199,-569538.408,-0.716
1.567,-40.678,-570915.145,-0.717
1.568,-41.156,-572253.582,-0.719
1.568,-41.653,-573612.107,-0.721
1.569,-42.150,-574932.189,-0.723
1.570,-42.645,-576215.399,-0.724
1.571,-43.138,-577463.220,-0.726
1.572,-43.653,-578730.137,-0.727
1.573,-44.166,-579961.512,-0.729
1.574,-44.677,-581158.785,-0.730
1.575,-45.187,-582323.319,-0.732
1.576,-45.718,-583506.045,-0.733
1.577,-46.248,-584655.861,-0.735
1.577,-46.776,-585774.088,-0.736
1.578,-47.302,-586861.976,-0.738
1.579,-47.850,-587967.238,-0.739
1.580,-48.396,-589041.970,-0.740
1.581,-48.940,-590087.384,-0.742
1.582,-49.482,-591104.627,-0.743
1.583,-50.046,-592138.512,-0.744
1.584,-50.609,-593144.011,-0.745
1.585,-51.169,-594122.238,-0.747
1.587,-51.727,-595074.248,-0.748
1.588,-52.308,-596042.256,-0.749
1.589,-52.886,-596983.804,-0.750
1.590,-53.462,-597899.918,-0.751
1.591,-54.055,-598821.370,-0.753
1.592,-54.645,-599717.691,-0.754
1.593,-55.233,-600589.846,-0.755
1.594,-55.837,-601467.562,-0.756
1.595,-56.439,-602321.357,-0.757
1.597,-57.038,-603152.140,-0.758
1.598,-57.655,-603988.534,-0.759
1.599,-58.268,-604802.116,-0.760
1.600,-58.878,-605593.746,-0.761
1.601,-59.506,-606391.058,-0.762
1.603,-60.130,-607166.571,-0.763
1.604,-60.751,-607921.099,-0.764
1.605,-61.390,-608681.404,-0.765
1.606,-62.026,-609420.832,-0.766
1.608,-62.657,-610140.155,-0.767
1.609,-63.307,-610865.374,-0.768
1.610,-63.952,-611570.551,-0.769
1.612,-64.593,-612256.421,-0.769
1.613,-65.253,-612948.331,-0.770
1.615,-65.909,-613620.951,-0.771
1.616,-66.559,-614274.983,-0.772
1.617,-67.229,-614935.229,-0.773
1.619,-67.894,-615576.854,-0.774
1.620,-68.553,-616200.531,-0.774
1.622,-69.232,-616830.628,-0.775
1.623,-69.905,-617442.695,-0.776
1.625,-70.572,-618037.377,-0.777
1.626,-71.261,-618638.721,-0.777
1.628,-71.942,-619222.543,-0.778
1.629,-72.616,-619789.468,-0.779
1.631,-73.312,-620363.338,-0.780
1.633,-74.000,-620920.112,-0.780
1.634,-74.681,-621460.395,-0.781
1.636,-75.384,-622007.957,-0.782
1.638,-76.078,-622538.760,-0.782
1.639,-76.764,-623053.394,-0.783
1.641,-77.473,-623575.700,-0.784
1.643,-78.173,-624081.490,-0.784
1.645,-78.863,-624571.341,-0.785
1.646,-79.577,-625069.332,-0.786
1.648,-80.280,-625550.940,-0.786
1.650,-80.996,-626032.880,-0.787
1.652,-81.700,-626498.470,-0.787
1.654,-82.419,-626964.870,-0.788
1.656,-83.124,-627414.874,-0.789
1.658,-83.843,-627866.021,-0.789
1.660,-84.548,-628300.652,-0.790
1.663,-85.268,-628736.802,-0.790
1.665,-85.972,-629156.220,-0.791
1.667,-86.691,-629577.588,-0.791
1.669,-87.392,-629981.893,-0.792
1.672,-88.110,-630388.660,-0.792
1.674,-88.807,-630777.882,-0.793
1.676,-89.522,-631170.198,-0.793
1.679,-90.214,-631544.288,-0.794
1.682,-90.925,-631922.297,-0.794
1.684,-91.610,-632281.115,-0.795
1.687,-92.315,-632645.013,-0.795
1.690,-93.017,-633001.536,-0.796
1.693,-93.716,-633351.144,-0.796
1.697,-94.412,-633694.094,-0.796
1.700,-95.105,-634030.885,-0.797
1.704,-95.798,-634362.532,-0.797
1.708,-96.495,-634691.337,-0.798
1.712,-97.211,-635023.873,-0.798
1.718,-98.025,-635396.196,-0.799
1.723,-98.555,-635635.537,-0.799
1.728,-99.042,-635852.822,-0.799
1.733,-99.429,-636024.286,-0.799
1.738,-99.717,-636150.812,-0.800
1.743,-99.905,-636233.043,-0.800
1.748,-99.995,-636272.302,-0.800
1.750,-100.000,-636274.372,-0.800
1.750,-100.000,-636274.467,-0.800
1.750,-100.000,-636274.508,-0.800
1.750,-100.000,-636274.528,-0.800
1.750,-100.000,-636274.619,-0.800
1.751,-99.997,-636275.989,-0.800
1.756,-99.937,-636301.290,-0.800
1.762,-99.702,-636396.115,-0.800
1.770,-99.246,-636555.966,-0.800
1.775,-98.745,-636697.842,-0.800
1.781,-98.064,-636839.159,-0.800
1.785,-97.624,-636901.993,-0.800
1.789,-97.070,-636952.256,-0.801
1.792,-96.459,-636973.896,-0.801
1.796,-95.924,-636966.568,-0.801
1.799,-95.322,-636931.868,-0.801
1.802,-94.754,-636875.902,-0.800
1.805,-94.155,-636794.715,-0.800
1.808,-93.524,-636687.121,-0.800
1.810,-92.862,-636552.204,-0.800
1.813,-92.271,-636414.366,-0.800
1.815,-91.657,-636255.668,-0.800
1.818,-91.020,-636075.901,-0.799
1.820,-90.361,-635874.935,-0.799
1.823,-89.680,-635652.698,-0.799
1.825,-88.977,-635409.161,-0.799
1.828,-88.252,-635144.319,-0.798
1.830,-87.592,-634891.716,-0.798
1.832,-86.914,-634622.371,-0.798
1.835,-86.220,-634336.271,-0.797
1.837,-85.509,-634033.385,-0.797
1.839,-84.782,-633713.657,-0.796
1.841,-84.039,-633377.001,-0.796
1.843,-83.279,-633023.294,-0.796
1.846,-82.503,-632652.376,-0.795
1.848,-81.712,-632264.042,-0.795
1.850,-80.998,-631905.464,-0.794
1.852,-80.272,-631532.830,-0.794
1.854,-79.534,-631145.902,-0.793
1.856,-78.783,-630744.408,-0.793
1.858,-78.021,-630328.043,-0.792
1.860,-77.247,-629896.467,-0.792
1.861,-76.462,-629449.302,-0.791
1.863,-75.665,-628986.133,-0.791
1.865,-74.856,-628506.507,-0.790
1.867,-74.125,-628064.139,-0.789
1.869,-73.385,-627607.889,-0.789
1.871,-72.636,-627137.351,-0.788
1.872,-71.879,-626652.089,-0.788
1.874,-71.113,-626151.640,-0.787
1.876,-70.338,-625635.509,-0.786
1.878,-69.555,-625103.168,-0.786
1.879,-68.763,-624554.058,-0.785
1.881,-67.964,-623987.582,-0.784
1.883,-67.244,-623467.183,-0.784
1.884,-66.517,-622931.992,-0.783
1.886,-65.784,-622381.509,-0.782
1.887,-65.045,-621815.207,-0.781
1.889,-64.299,-621232.529,-0.781
1.890,-63.548,-620632.887,-0.780
1.892,-62.790,-620015.663,-0.779
1.894,-62.026,-619380.202,-0.778
1.895,-61.257,-618725.815,-0.778
1.897,-60.481,-618051.775,-0.777
1.898,-59.790,-617437.874,-0.776
1.899,-59.094,-616807.396,-0.775
1.901,-58.394,-616159.750,-0.774
1.902,-57.689,-615494.314,-0.774
1.904,-56.980,-614810.435,-0.773
1.905,-56.266,-614107.424,-0.772
1.906,-55.549,-613384.558,-0.771
1.908,-54.827,-612641.073,-0.770
1.909,-54.101,-611876.166,-0.769
1.910,-53.371,-611088.987,-0.768
1.912,-52.637,-610278.642,-0.767
1.913,-51.984,-609540.863,-0.766
1.914,-51.328,-608783.480,-0.765
1.915,-50.669,-608005.763,-0.764
1.917,-50.006,-607206.947,-0.763
1.918,-49.341,-606386.226,-0.762
1.919,-48.673,-605542.752,-0.761
1.920,-48.002,-604675.629,-0.760
1.922,-47.328,-603783.916,-0.759
1.923,-46.652,-602866.615,-0.758
1.924,-45.972,-601922.675,-0.756
1.925,-45.290,-600950.985,-0.755
1.926,-44.678,-600057.727,-0.754
1.927,-44.064,-599140.459,-0.753
1.928,-43.448,-598198.244,-0.752
1.930,-42.829,-597230.099,-0.751
1.931,-42.209,-596234.984,-0.749
1.932,-41.587,-595211.804,-0.748
1.933,-40.963,-594159.401,-0.747
1.934,-40.336,-593076.549,-0.745
1.935,-39.708,-591961.955,-0.744
1.936,-39.078,-590814.247,-0.742
1.937,-38.447,-589631.971,-0.741
1.938,-37.883,-588549.135,-0.740
1.939,-37.317,-587436.533,-0.738
1.940,-36.751,-586292.950,-0.737
1.941,-36.183,-585117.102,-0.735
1.942,-35.613,-583907.635,-0.734
1.943,-35.042,-582663.112,-0.732
1.944,-34.470,-581382.015,-0.731
1.945,-33.897,-580062.733,-0.729
1.946,-33.322,-578703.559,-0.727
1.947,-32.747,-577302.681,-0.726
1.948,-32.169,-575858.172,-0.724
1.949,-31.654,-574532.428,-0.722
1.950,-31.138,-573168.870,-0.720
1.950,-30.621,-571765.872,-0.719
1.951,-30.103,-570321.711,-0.717
1.952,-29.584,-568834.562,-0.715
1.953,-29.064,-567302.491,-0.713
1.954,-28.543,-565723.442,-0.711
1.955,-28.022,-564095.235,-0.709
1.956,-27.500,-562415.551,-0.707
1.957,-26.976,-560681.921,-0.705
1.957,-26.452,-558891.719,-0.702
1.958,-25.988,-557257.934,-0.700
1.959,-25.523,-555575.586,-0.698
1.960,-25.058,-553842.491,-0.696
1.960,-24.591,-552056.334,-0.694
1.961,-24.125,-550214.658,-0.691
1.962,-23.657,-548314.854,-0.689
1.963,-23.190,-546354.153,-0.687
1.964,-22.721,-544329.610,-0.684
1.964,-22.252,-542238.093,-0.681
1.965,-21.783,-540076.267,-0.679
1.966,-21.313,-537840.583,-0.676
1.966,-20.898,-535801.862,-0.673
1.967,-20.482,-533699.827,-0.671
1.968,-20.066,-531531.547,-0.668
1.969,-19.649,-529293.915,-0.665
1.969,-19.233,-526983.639,-0.662
1.970,-18.815,-524597.226,-0.659
1.971,-18.398,-522130.972,-0.656
1.971,-17.980,-519580.946,-0.653
1.972,-17.562,-516942.970,-0.650
1.973,-17.143,-514212.610,-0.646
1.973,-16.768,-511679.185,-0.643
1.974,-16.391,-509063.915,-0.640
1.974,-16.015,-506362.981,-0.636
1.975,-15.638,-503572.347,-0.633
1.976,-15.261,-500687.748,-0.629
1.976,-14.884,-497704.672,-0.625
1.977,-14.507,-494618.348,-0.622
1.977,-14.130,-491423.729,-0.618
1.978,-13.752,-488115.477,-0.613
1.979,-13.374,-484687.943,-0.609
1.979,-13.040,-481552.446,-0.605
1.980,-12.705,-478314.623,-0.601
1.980,-12.370,-474969.894,-0.597
1.981,-12.036,-471513.446,-0.593
1.981,-11.701,-467940.222,-0.588
1.982,-11.366,-464244.907,-0.583
1.982,-11.030,-460421.922,-0.579
1.983,-10.695,-456465.409,-0.574
1.983,-10.359,-452369.219,-0.568
1.984,-10.024,-448126.901,-0.563
1.985,-9.723,-444199.073,-0.558
1.985,-9.423,-440143.616,-0.553
1.985,-9.122,-435955.244,-0.548
1.986,-8.821,-431628.454,-0.542
1.986,-8.520,-427157.521,-0.537
1.987,-8.219,-422536.491,-0.531
1.987,-7.918,-417759.184,-0.525
1.988,-7.617,-412819.192,-0.519
1.988,-7.316,-407709.874,-0.512
1.989,-7.015,-402424.366,-0.506
1.989,-6.746,-397560.942,-0.500
1.990,-6.478,-392546.872,-0.493
1.990,-6.209,-387376.872,-0.487
1.991,-5.940,-382045.535,-0.480
1.991,-5.672,-376547.343,-0.473
1.991,-5.403,-370876.680,-0.466
1.992,-5.134,-365027.845,-0.459
1.992,-4.866,-358995.070,-0.451
1.993,-4.597,-352772.546,-0.443
1.993,-4.328,-346354.443,-0.435
1.994,-4.059,-339734.944,-0.427
1.994,-3.821,-333699.343,-0.419
1.994,-3.583,-327497.275,-0.412
1.995,-3.345,-321124.863,-0.404
1.995,-3.106,-314578.333,-0.395
1.995,-2.868,-307854.046,-0.387
1.996,-2.630,-300948.533,-0.378
1.996,-2.392,-293858.530,-0.369
1.997,-2.153,-286581.017,-0.360
1.997,-1.915,-279113.266,-0.351
1.997,-1.677,-271452.884,-0.341
1.998,-1.438,-263597.861,-0.331
1.998,-1.200,-255546.628,-0.321
1.998,-0.988,-248200.530,-0.312
1.999,-0.775,-240697.141,-0.302
1.999,-0.562,-233036.444,-0.293
1.999,-0.350,-225218.836,-0.283
2.000,-0.137,-217245.160,-0.273
2.000,-0.000,-212009.457,-0.266
